SA2 2011,SA2 2016,Weight
206041118,206051131,0.000173
206041118,206041127,0.0000782
206041119,206041119,1
206041120,206041120,1
206041121,206041121,1
206041122,206041122,1
206041123,206041123,1
206041124,206041124,1
206041125,206041125,1
206041126,206041126,1
206041127,206041127,1
206051128,206051128,1
206051129,206051129,1
206051130,206051130,1
206051131,206051131,1
206051132,206051132,1
206051133,206051133,1
206051134,206051134,1
206061135,206061135,1
206061136,206061136,1
206061137,206061137,1
206061138,206061138,1
206071139,206071139,1
206071140,206071140,1
206071141,206071141,1
206071142,206071142,1
206071143,206071143,1
206071144,206071144,1
206071145,206071145,1
207011146,207011146,0.9920897
207011146,207011150,0.0079103
207011147,207011147,1
207011148,207011148,1
207011149,207011149,1
207011150,207011150,1
207011151,207011151,1
207011152,207011152,1
207011153,207011153,1
207011154,207011154,1
207011155,207011155,1
207021156,207021156,1
207021157,207021157,1
207021158,207021424,0.5294285
207021158,207021425,0.4705715
207021159,207021159,1
207021160,207021160,1
207031161,207031161,1
207031162,207031162,1
207031163,207031163,1
207031164,207031164,1
207031165,207031165,1
207031166,207031166,1
207031167,207031167,1
208011168,208011168,1
208011169,208011169,1
208011170,208011170,1
208011171,208011171,1
208011172,208011172,1
208011173,208011173,1
208021174,208021174,1
208021175,208021426,0.5263666
208021175,208021427,0.4736334
208021176,208021176,1
208021177,208021177,1
208021178,208021178,1
208021179,208021179,1
208021180,208021180,1
208021181,208021181,1
208021182,208021182,1
208031183,208031183,1
208031184,208031184,1
208031185,208031185,1
208031186,208031186,1
208031187,208031187,1
208031188,208031188,1
208031189,208031189,1
208031190,208031190,1
208031191,208031191,1
208031192,208031192,1
208031193,208031193,1
208041194,208041194,1
208041195,208041195,1
209011196,209011196,1
209011197,209011197,1
209011198,209011198,1
209011199,209011199,1
209011200,209011200,1
209011201,209011201,1
209011202,209011202,1
209011203,209011203,1
209011204,209011204,1
209021205,209021205,1
209021206,209021428,0.6146243
209021206,209021429,0.3853757
209021207,209021207,1
209021208,209021208,1
209031209,209031209,1
209031210,209031210,1
209031211,209031211,1
209031212,209031212,1
209031213,209031213,1
209031214,209031214,1
209031215,209031215,1
209041216,209041216,1
209041217,209041217,1
209041218,209041431,0.4516502
209041218,209041432,0.3022687
209041218,209041433,0.2272776
209041218,209041437,0.0188035
209041219,209041219,1
209041220,209041220,1
209041221,209041221,1
209041222,209041430,0.2854755
209041222,209041434,0.1697985
209041222,209041435,0.2419756
209041222,209041436,0.3027504
209041223,209041223,1
209041224,209041224,1
209041225,209041225,1
210011226,210011226,1
210011227,210011227,1
210011228,210011228,1
210011229,210011229,1
210011230,210011230,1
210011231,210011231,1
210021232,210021232,1
210021233,210021233,1
210021234,210021234,1
210021235,210021235,1
210031236,210031236,1
210031237,210031237,1
210031238,210031438,0.7086336
210031238,210031439,0.0989699
210031238,210031440,0.1923965
210031239,210031239,1
210041240,210041240,1
210041241,210041241,1
210051242,210051242,1
210051243,210051243,1
210051244,210051441,0.233667
210051244,210051442,0.2556787
210051244,210051443,0.3436051
210051244,210051444,0.1229918
210051244,210051445,0.0440573
210051245,210051245,1
210051246,210051246,0.9999999
210051246,210051249,0.0000001
210051247,210051247,1
210051248,210051248,1
210051249,210051246,0.0405963
210051249,210051249,0.9594037
210051250,210051250,1
211011251,211011251,1
211011252,211011446,0.8312314
211011252,211011449,0.1687686
211011253,211011447,0.4762091
211011253,211011448,0.5237909
211011254,211011254,1
211011255,211011255,1
211011256,211011256,1
211011257,211011257,1
211011258,211011258,1
211011259,211011259,1
211011260,211011260,1
211021261,211021261,1
211021262,211021262,1
211031263,211031263,1
211031264,211031450,0.4618561
211031264,211031451,0.3850595
211031264,211031452,0.1530843
211031265,211031265,1
211031266,211031266,1
211031267,211031267,1
211031268,211031268,1
211041269,211041269,1
211041270,211041270,1
211041271,211041271,1
211041272,211041272,1
211041273,211041273,1
211051274,211051274,1
211051275,211051275,1
211051276,211051276,1
211051277,211051277,1
211051278,211051278,1
211051279,211051279,1
211051280,211051280,1
211051281,211051281,1
211051282,211051282,1
211051283,211051283,1
211051284,211051284,1
211051285,211051285,1
211051286,211051286,1
212011287,212011287,0.9888482
212011287,212011291,0.0111518
212011288,212011288,1
212011289,212011289,1
212011290,212011290,1
212011291,212011291,1
212011292,212011292,1
212021293,212021293,1
212021294,212021294,1
212021295,212021295,1
212021296,212021453,0.4672757
212021296,212021454,0.5327243
212021297,212021297,1
212021298,212021455,0.5061422
212021298,212021456,0.4938578
212021299,211051274,0.0002119
212021299,212021299,0.9997881
212031300,212031300,1
212031301,212031301,1
212031302,212031302,1
212031303,212031303,1
212031304,212031304,1
212031305,212031305,1
212031306,212031306,1
212031307,212031457,0.4439938
212031307,212031458,0.5560062
212031308,212031308,1
212041309,212041309,1
212041310,212041310,1
212041311,212041311,1
212041312,212041312,1
212041313,212041313,1
212041314,212041314,1
212041315,212041459,0.400402
212041315,212041460,0.599598
212041316,212041316,1
212041317,212041317,1
212041318,212041318,1
212051319,212051319,1
212051320,212051320,1
212051321,212051321,1
212051322,212051322,1
212051323,212051323,1
212051324,212051324,1
212051325,212051325,1
212051326,212051326,1
212051327,212051327,1
213011328,213011328,1
213011329,213011329,1
213011330,213011330,1
213011331,213011331,1
213011332,213011332,1
213011333,213011333,1
213011334,213011334,1
213011335,213011335,1
213011336,213011336,1
213011337,213011337,1
213011338,213011338,1
213011339,213011339,1
213011340,213011340,1
213021341,213021341,1
213021342,213021342,1
213021343,213021343,1
